"OBJECTID","PIN","PARCELNB","TOWNSHIP","SECTION_","BLOCK","PARCEL","SHAPE_STAr","SHAPE_STLe","Acres"
106339,"172101004011","0172101004011","1721","010","04","011",88079.66503910000,1233.74418713000,82
106340,"172101004010","0172101004010","1721","010","04","010",103806.91357400000,1380.32256127000,96
106341,"172101001024","0172101001024","1721","010","01","024",102491.55859400000,1431.45858473000,95
106342,"172101001003","0172101001003","1721","010","01","003",112105.79052700000,1547.94531464000,104
106343,"172101001004","0172101001004","1721","010","01","004",117553.54150400000,1550.88809349000,109
106344,"172101001023","0172101001023","1721","010","01","023",102514.19189500000,1431.62952028000,95
106345,"172101004014","0172101004014","1721","010","04","014",106244.46435500000,1374.07907659000,99
106346,"172101004013","0172101004013","1721","010","04","013",103806.58886700000,1380.04959199000,96
106347,"172101004012","0172101004012","1721","010","04","012",88079.44238280000,1233.74220890000,82
106348,"172101001022","0172101001022","1721","010","01","022",102531.15673800000,1431.80052114000,95
106349,"172101001005","0172101001005","1721","010","01","005",108841.11962900000,1406.54625326000,101
106350,"172101001021","0172101001021","1721","010","01","021",102547.88232400000,1431.97154359000,95
106351,"172101001006","0172101001006","1721","010","01","006",108818.20800800000,1406.34622099000,101
106352,"172101004015","0172101004015","1721","010","04","015",105851.80419900000,1371.74821511000,98
106353,"172101001020","0172101001020","1721","010","01","020",102565.09228500000,1432.14355511000,95
106354,"172101004017","0172101004017","1721","010","04","017",87504.80175780000,1229.44389335000,81
106355,"172101004016","0172101004016","1721","010","04","016",102609.57226600000,1371.55737865000,95
106356,"172101001007","0172101001007","1721","010","01","007",116998.53466800000,1547.30512291000,109
106357,"172101001019","0172101001019","1721","010","01","019",102581.99316400000,1432.31455596000,95
106358,"172101001008","0172101001008","1721","010","01","008",111108.02783200000,1542.12713244000,103
106359,"172101004019","0172101004019","1721","010","04","019",118262.17187500000,1496.18715932000,110
106360,"172101004018","0172101004018","1721","010","04","018",88918.57861330000,1207.62471166000,83
106361,"172101001018","0172101001018","1721","010","01","018",102598.97802700000,1432.48557840000,95
106362,"172101004020","0172101004020","1721","010","04","020",110749.21240200000,1450.28865107000,103
106363,"172101001015","0172101001015","1721","010","01","015",104415.20459000000,1320.47136899000,97
106364,"172101001014","0172101001014","1721","010","01","014",103444.80957000000,1314.93362472000,96
106365,"172101001013","0172101001013","1721","010","01","013",101068.80908200000,1301.73240499000,94
